transaction_id,date,posting_time,day_of_week,department,vendor,category,amount,approval_limit,approver,invoice_number,flag_reason,leading_digit,root_cause_category
TXN-003522-D,2025-08-13,14:38,Wednesday,Operations,Vendor_028,Consulting,160.74,30000,Approver_06,INV-103721,Duplicate transaction,,Data Entry Error
TXN-000084-D,2025-08-13,12:01,Wednesday,Procurement,Vendor_003,Misc,806.25,50000,Approver_03,INV-103727,Duplicate transaction,,Data Entry Error
TXN-003258-D,2025-09-30,11:23,Tuesday,Sales,Vendor_048,Supplies,77.45,20000,Approver_10,INV-104524,Duplicate transaction,,Data Entry Error
TXN-003432-D,2025-01-15,16:58,Wednesday,Finance,Vendor_038,Misc,-1953.08,60000,Approver_09,INV-100234,Duplicate transaction,,Data Entry Error
TXN-002295-D,2025-10-14,17:22,Tuesday,Sales,Vendor_042,Software,150.89,20000,Approver_03,INV-104735,Duplicate transaction,,Data Entry Error
TXN-005375-D,2025-12-22,09:10,Monday,Operations,Vendor_020,Utilities,32959.68,30000,Approver_07,INV-105839,Duplicate transaction,,Data Entry Error
TXN-002288-D,2025-06-26,16:00,Thursday,HR,Vendor_052,Equipment,72.88,15000,Approver_09,INV-102939,Duplicate transaction,,Data Entry Error
TXN-002114-D,2025-07-03,18:48,Thursday,HR,Vendor_040,Utilities,13858.12,15000,Approver_07,INV-103053,Duplicate transaction,,Data Entry Error
TXN-001170-D,2025-02-24,11:13,Monday,Operations,Vendor_038,Utilities,15000.0,30000,Approver_06,INV-100867,Duplicate transaction,,Data Entry Error
TXN-000470-D,2025-01-16,18:45,Thursday,Marketing,Vendor_029,Software,208.94,25000,Approver_01,INV-100276,Duplicate transaction,,Data Entry Error
TXN-005773-D,2025-12-17,09:57,Wednesday,IT,Vendor_021,Equipment,6854.91,40000,Approver_07,INV-105798,Duplicate transaction,,Data Entry Error
TXN-001708-D,2025-08-01,14:37,Friday,Finance,Vendor_034,Supplies,27.61,60000,Approver_15,INV-103512,Duplicate transaction,,Data Entry Error
TXN-004909-D,2025-12-17,11:40,Wednesday,Finance,Vendor_015,Travel,969.89,60000,Approver_01,INV-105789,Duplicate transaction,,Data Entry Error
TXN-004762-D,2025-07-14,15:29,Monday,Procurement,Vendor_030,Travel,3584.52,50000,Approver_02,INV-103198,Duplicate transaction,,Data Entry Error
TXN-000890-D,2025-12-25,15:08,Thursday,Operations,Vendor_055,Misc,260.28,30000,Approver_01,INV-105908,Duplicate transaction,,Data Entry Error
TXN-001056-D,2025-12-12,09:57,Friday,Sales,Vendor_027,Misc,385.39,20000,Approver_10,INV-105718,Duplicate transaction,,Data Entry Error
TXN-002280-D,2025-06-11,11:06,Wednesday,Operations,Vendor_058,Software,600.18,30000,Approver_02,INV-102687,Duplicate transaction,,Data Entry Error
TXN-003178-D,2025-01-15,10:37,Wednesday,Procurement,Vendor_010,Utilities,563.86,50000,Approver_04,INV-100250,Duplicate transaction,,Data Entry Error
TXN-003697-D,2025-11-27,09:47,Thursday,Finance,Vendor_001,Software,1102.99,60000,,INV-105461,Duplicate transaction,,Data Entry Error
TXN-003093-D,2025-07-03,21:46,Thursday,HR,Vendor_015,Travel,492.17,15000,Approver_06,INV-103052,Duplicate transaction,,Data Entry Error
TXN-002113-D,2025-06-12,12:06,Thursday,HR,Vendor_034,Consulting,5000.0,15000,Approver_01,INV-102711,Duplicate transaction,,Data Entry Error
TXN-004194-D,2025-08-15,11:31,Friday,HR,Vendor_023,Misc,9066.64,15000,Approver_12,INV-103771,Duplicate transaction,,Data Entry Error
TXN-001791-D,2025-12-30,14:47,Tuesday,Marketing,Vendor_042,Utilities,15.22,25000,Approver_02,INV-105988,Duplicate transaction,,Data Entry Error
TXN-001463-D,2025-12-09,12:02,Tuesday,Sales,Vendor_014,Software,76451.58,20000,Approver_09,INV-105645,Duplicate transaction,,Data Entry Error
TXN-002604-D,2025-10-07,16:28,Tuesday,Sales,Vendor_051,Misc,29.47,20000,Approver_09,INV-104617,Duplicate transaction,,Data Entry Error
TXN-004584-D,2025-01-22,10:33,Wednesday,Procurement,Vendor_051,Supplies,97.84,50000,Approver_12,INV-100368,Duplicate transaction,,Data Entry Error
TXN-004629-D,2025-10-27,11:15,Monday,IT,Vendor_048,Equipment,1631.66,40000,Approver_09,INV-104916,Duplicate transaction,,Data Entry Error
TXN-004309-D,2025-04-15,10:18,Tuesday,HR,Vendor_034,Equipment,146.46,15000,Approver_14,INV-101729,Duplicate transaction,,Data Entry Error
TXN-001598-D,2025-08-22,15:48,Friday,IT,Vendor_002,Consulting,12.38,40000,Approver_01,INV-103875,Duplicate transaction,,Data Entry Error
TXN-001103-D,2025-01-08,15:05,Wednesday,IT,Vendor_057,Equipment,1849.57,40000,Approver_01,INV-100125,Duplicate transaction,,Data Entry Error
TXN-001287-D,2025-04-30,12:40,Wednesday,Sales,Vendor_009,Misc,691.14,20000,Approver_05,INV-101988,Duplicate transaction,,Data Entry Error
TXN-000014-D,2025-03-03,15:05,Monday,HR,Vendor_058,Misc,165.36,15000,Approver_14,INV-100984,Duplicate transaction,,Data Entry Error
TXN-003169-D,2025-08-27,10:47,Wednesday,IT,Vendor_052,Travel,300.17,40000,Approver_05,INV-103953,Duplicate transaction,,Data Entry Error
TXN-002831-D,2025-02-27,12:49,Thursday,Sales,Vendor_001,Consulting,463.14,20000,Approver_14,INV-100931,Duplicate transaction,,Data Entry Error
TXN-001499-D,2025-05-01,15:04,Thursday,Finance,Vendor_051,Travel,6340.8,60000,Approver_13,INV-102031,Duplicate transaction,,Data Entry Error
TXN-005685-D,2025-01-10,13:50,Friday,IT,Vendor_030,Utilities,272.24,40000,Approver_13,INV-100179,Duplicate transaction,,Data Entry Error
TXN-002690-D,2025-12-22,15:07,Monday,Sales,Vendor_013,Misc,24.88,20000,Approver_10,INV-105845,Duplicate transaction,,Data Entry Error
TXN-003586-D,2025-03-12,11:27,Wednesday,Finance,Vendor_057,Utilities,3034.27,60000,Approver_12,INV-101132,Duplicate transaction,,Data Entry Error
TXN-000846-D,2025-08-22,16:59,Friday,Procurement,Vendor_003,Supplies,320.49,50000,Approver_08,INV-103886,Duplicate transaction,,Data Entry Error
TXN-002525-D,2025-07-14,12:20,Monday,Finance,Vendor_016,Travel,14.02,60000,Approver_11,INV-103203,Duplicate transaction,,Data Entry Error
TXN-002754-D,2025-12-27,13:53,Saturday,Finance,Vendor_042,Supplies,81469.27,60000,Approver_08,INV-105962,Duplicate transaction,,Data Entry Error
TXN-001481-D,2025-05-26,12:11,Monday,Marketing,Vendor_005,Misc,46.59,25000,Approver_14,INV-102427,Duplicate transaction,,Data Entry Error
TXN-000416-D,2025-09-25,12:39,Thursday,Finance,Vendor_032,Supplies,11.36,60000,Approver_15,INV-104442,Duplicate transaction,,Data Entry Error
TXN-000396-D,2025-07-31,11:16,Thursday,IT,Vendor_046,Software,940.55,40000,Approver_15,INV-103508,Duplicate transaction,,Data Entry Error
TXN-004918-D,2025-02-24,16:37,Monday,Marketing,Vendor_030,Software,198.11,25000,Approver_15,INV-100870,Duplicate transaction,,Data Entry Error
TXN-001122-D,2025-09-12,12:25,Friday,Sales,Vendor_012,Equipment,475.47,20000,Approver_13,INV-104230,Duplicate transaction,,Data Entry Error
TXN-003915-D,2025-08-22,15:41,Friday,Sales,Vendor_022,Misc,824.23,20000,Approver_07,INV-103880,Duplicate transaction,,Data Entry Error
TXN-001437-D,2025-04-15,11:59,Tuesday,Sales,Vendor_024,Misc,542.19,20000,Approver_05,INV-101745,Duplicate transaction,,Data Entry Error
TXN-000059-D,2025-08-05,18:26,Tuesday,Sales,Vendor_006,Software,18254.32,20000,Approver_05,INV-103573,Duplicate transaction,,Data Entry Error
TXN-003038-D,2025-01-06,08:16,Monday,Procurement,Vendor_047,Supplies,36783.04,50000,Approver_10,INV-100079,Duplicate transaction,,Data Entry Error
TXN-003831-D,2025-02-27,15:11,Thursday,Finance,Vendor_039,Consulting,3209.75,60000,Approver_03,INV-100943,Duplicate transaction,,Data Entry Error
TXN-002396-D,2025-10-24,12:16,Friday,Procurement,Vendor_042,Software,21298.27,50000,Approver_01,INV-104906,Duplicate transaction,,Data Entry Error
TXN-004889-D,2025-11-28,16:55,Friday,IT,Vendor_028,Equipment,34.66,40000,Approver_14,INV-105477,Duplicate transaction,,Data Entry Error
TXN-001581-D,2025-03-18,13:34,Tuesday,Sales,Vendor_042,Misc,85433.6,20000,Approver_13,INV-101240,Duplicate transaction,,Data Entry Error
TXN-000510-D,2025-02-03,12:44,Monday,Marketing,Vendor_042,Supplies,266.99,25000,Approver_11,INV-100554,Duplicate transaction,,Data Entry Error
TXN-001369-D,2025-01-22,11:09,Wednesday,Marketing,Vendor_010,Equipment,75.64,25000,Approver_11,INV-100354,Duplicate transaction,,Data Entry Error
TXN-005243-D,2025-04-16,12:57,Wednesday,Finance,Vendor_034,Equipment,9761.74,60000,Approver_06,INV-101766,Duplicate transaction,,Data Entry Error
TXN-000135,2025-01-07,09:32,Tuesday,HR,Vendor_034,Utilities,308.07,15000,,INV-100089,Missing approver,,Data Entry Error
TXN-001770,2025-01-09,12:38,Thursday,Procurement,Vendor_016,Consulting,386.05,50000,,INV-100138,Missing approver,,Data Entry Error
TXN-005595,2025-01-13,11:53,Monday,Marketing,Vendor_028,Supplies,107.74,25000,,INV-100201,Missing approver,,Data Entry Error
TXN-003434,2025-01-16,16:22,Thursday,Finance,Vendor_006,Utilities,1474.55,60000,,INV-100274,Missing approver,,Data Entry Error
TXN-002461,2025-01-27,00:36,Monday,Sales,Vendor_029,Software,370.51,20000,,INV-100438,Missing approver,,Data Entry Error
TXN-004508,2025-01-30,13:02,Thursday,IT,Vendor_054,Supplies,11.58,40000,,INV-100492,Missing approver,,Data Entry Error
TXN-001929,2025-01-30,15:09,Thursday,Operations,Vendor_049,Software,37034.31,30000,,INV-100505,Missing approver,,Data Entry Error
TXN-000977,2025-02-04,18:18,Tuesday,Marketing,Vendor_029,Misc,31.48,25000,,INV-100580,Missing approver,,Data Entry Error
TXN-004522,2025-02-10,18:45,Monday,Operations,Vendor_036,Equipment,5000.0,30000,,INV-100668,Missing approver,,Data Entry Error
TXN-005320,2025-02-12,10:19,Wednesday,Sales,Vendor_060,Supplies,171.91,20000,,INV-100705,Missing approver,,Data Entry Error
TXN-000592,2025-02-14,10:35,Friday,HR,Vendor_053,Software,602.63,15000,,INV-100740,Missing approver,,Data Entry Error
TXN-004933,2025-02-19,10:54,Wednesday,Finance,Vendor_002,Supplies,2400.28,60000,,INV-100792,Missing approver,,Data Entry Error
TXN-001818,2025-03-03,13:15,Monday,IT,Vendor_029,Equipment,370.5,40000,,INV-101004,Missing approver,,Data Entry Error
TXN-003576,2025-03-04,18:42,Tuesday,Finance,Vendor_033,Software,2823.15,60000,,INV-101032,Missing approver,,Data Entry Error
TXN-003961,2025-03-05,12:59,Wednesday,Procurement,Vendor_007,Utilities,21.21,50000,,INV-101037,Missing approver,,Data Entry Error
TXN-001489,2025-03-06,16:51,Thursday,HR,Vendor_049,Software,14226.65,15000,,INV-101057,Missing approver,,Data Entry Error
TXN-001585,2025-03-14,10:14,Friday,Finance,Vendor_008,Travel,12894.79,60000,,INV-101185,Missing approver,,Data Entry Error
TXN-004144,2025-03-15,11:27,Saturday,Finance,Vendor_020,Equipment,64.59,60000,,INV-101197,Missing approver,,Data Entry Error
TXN-000577,2025-03-17,17:43,Monday,Sales,Vendor_007,Supplies,23822.44,20000,,INV-101201,Missing approver,,Data Entry Error
TXN-004539,2025-03-20,15:20,Thursday,HR,Vendor_054,Travel,387.39,15000,,INV-101303,Missing approver,,Data Entry Error
TXN-002948,2025-03-24,09:30,Monday,Sales,Vendor_004,Utilities,19542.92,20000,,INV-101352,Missing approver,,Data Entry Error
TXN-003663,2025-03-25,11:42,Tuesday,Sales,Vendor_056,Travel,245.43,20000,,INV-101372,Missing approver,,Data Entry Error
TXN-005678,2025-03-26,14:14,Wednesday,Operations,Vendor_056,Software,369.26,30000,,INV-101401,Missing approver,,Data Entry Error
TXN-004175,2025-03-26,11:38,Wednesday,Finance,Vendor_055,Supplies,113.15,60000,,INV-101406,Missing approver,,Data Entry Error
TXN-000637,2025-03-28,16:21,Friday,Marketing,Vendor_059,Travel,7093.37,25000,,INV-101448,Missing approver,,Data Entry Error
TXN-001323,2025-04-03,16:11,Thursday,Sales,Vendor_053,Misc,73.22,20000,,INV-101540,Missing approver,,Data Entry Error
TXN-001169,2025-04-04,12:35,Friday,Procurement,Vendor_031,Supplies,27202.43,50000,,INV-101553,Missing approver,,Data Entry Error
TXN-001848,2025-04-16,11:53,Wednesday,Operations,Vendor_002,Equipment,28022.14,30000,,INV-101758,Missing approver,,Data Entry Error
TXN-003666,2025-04-17,16:05,Thursday,Finance,Vendor_042,Travel,58241.13,60000,,INV-101796,Missing approver,,Data Entry Error
TXN-005665,2025-04-22,11:43,Tuesday,Finance,Vendor_059,Misc,525.74,60000,,INV-101862,Missing approver,,Data Entry Error
TXN-001257,2025-04-23,10:13,Wednesday,Operations,Vendor_031,Misc,46.86,30000,,INV-101880,Missing approver,,Data Entry Error
TXN-000650,2025-04-24,14:37,Thursday,Finance,Vendor_057,Utilities,81.2,60000,,INV-101906,Missing approver,,Data Entry Error
TXN-004995,2025-05-02,15:20,Friday,HR,Vendor_010,Equipment,124.71,15000,,INV-102037,Missing approver,,Data Entry Error
TXN-005129,2025-05-07,15:42,Wednesday,Procurement,Vendor_053,Misc,16613.98,50000,,INV-102115,Missing approver,,Data Entry Error
TXN-002720,2025-05-19,22:46,Monday,Sales,Vendor_011,Misc,5236.7,20000,,INV-102300,Missing approver,,Data Entry Error
TXN-002022,2025-05-21,12:53,Wednesday,IT,Vendor_045,Software,13194.12,40000,,INV-102347,Missing approver,,Data Entry Error
TXN-003041,2025-05-29,15:25,Thursday,Finance,Vendor_024,Supplies,621.42,60000,,INV-102493,Missing approver,,Data Entry Error
TXN-001542,2025-06-06,12:22,Friday,Operations,Vendor_042,Supplies,59.27,30000,,INV-102626,Missing approver,,Data Entry Error
TXN-003161,2025-06-20,16:48,Friday,Marketing,Vendor_032,Misc,2104.48,25000,,INV-102827,Missing approver,,Data Entry Error
TXN-004513,2025-06-20,12:02,Friday,Procurement,Vendor_053,Equipment,2000.69,50000,,INV-102836,Missing approver,,Data Entry Error
TXN-002232,2025-06-24,15:41,Tuesday,Marketing,Vendor_017,Utilities,283.94,25000,,INV-102876,Missing approver,,Data Entry Error
TXN-000969,2025-06-24,11:27,Tuesday,Sales,Vendor_011,Equipment,25.29,20000,,INV-102890,Missing approver,,Data Entry Error
TXN-001061,2025-06-25,12:02,Wednesday,Procurement,Vendor_030,Utilities,362.99,50000,,INV-102914,Missing approver,,Data Entry Error
TXN-000617,2025-06-30,14:12,Monday,Procurement,Vendor_056,Equipment,14333.83,50000,,INV-102983,Missing approver,,Data Entry Error
TXN-004822,2025-07-02,12:16,Wednesday,Marketing,Vendor_053,Software,372.81,25000,,INV-103035,Missing approver,,Data Entry Error
TXN-001269,2025-07-09,11:37,Wednesday,HR,Vendor_030,Equipment,522.24,15000,,INV-103128,Missing approver,,Data Entry Error
TXN-003465,2025-07-11,16:39,Friday,Finance,Vendor_039,Travel,250.37,60000,,INV-103180,Missing approver,,Data Entry Error
TXN-005061,2025-07-15,18:37,Tuesday,Operations,Vendor_015,Supplies,101.8,30000,,INV-103225,Missing approver,,Data Entry Error
TXN-004624,2025-07-17,13:09,Thursday,HR,Vendor_024,Supplies,904.85,15000,,INV-103259,Missing approver,,Data Entry Error
TXN-003314,2025-07-22,14:45,Tuesday,Finance,Vendor_016,Equipment,146.84,60000,,INV-103346,Missing approver,,Data Entry Error
TXN-002406,2025-07-24,18:07,Thursday,Sales,Vendor_031,Utilities,17.09,20000,,INV-103374,Missing approver,,Data Entry Error
TXN-005580,2025-07-28,12:16,Monday,Marketing,Vendor_018,Utilities,881.32,25000,,INV-103420,Missing approver,,Data Entry Error
TXN-002111,2025-07-31,09:38,Thursday,IT,Vendor_047,Equipment,227.5,40000,,INV-103506,Missing approver,,Data Entry Error
TXN-001060,2025-08-01,18:36,Friday,HR,Vendor_027,Utilities,1242.34,15000,,INV-103521,Missing approver,,Data Entry Error
TXN-003770,2025-08-04,12:10,Monday,IT,Vendor_027,Misc,291.39,40000,,INV-103542,Missing approver,,Data Entry Error
TXN-004485,2025-08-04,17:54,Monday,Finance,Vendor_040,Equipment,128.43,60000,,INV-103549,Missing approver,,Data Entry Error
TXN-003560,2025-08-06,10:19,Wednesday,Operations,Vendor_003,Equipment,28341.9,30000,,INV-103595,Missing approver,,Data Entry Error
TXN-000205,2025-08-08,17:07,Friday,Sales,Vendor_036,Utilities,4213.7,20000,,INV-103651,Missing approver,,Data Entry Error
TXN-000307,2025-08-12,11:32,Tuesday,Sales,Vendor_043,Equipment,1672.1,20000,,INV-103680,Missing approver,,Data Entry Error
TXN-005946,2025-08-13,15:54,Wednesday,Procurement,Vendor_046,Utilities,48000.93,50000,,INV-103705,Missing approver,,Data Entry Error
TXN-002031,2025-08-18,10:31,Monday,Sales,Vendor_010,Supplies,18562.73,20000,,INV-103801,Missing approver,,Data Entry Error
TXN-002076,2025-09-01,11:53,Monday,Operations,Vendor_037,Misc,27583.37,30000,,INV-104034,Missing approver,,Data Entry Error
TXN-005108,2025-09-02,14:43,Tuesday,Operations,Vendor_044,Misc,29168.16,30000,,INV-104045,Missing approver,,Data Entry Error
TXN-004971,2025-09-02,16:36,Tuesday,HR,Vendor_044,Travel,181.45,15000,,INV-104063,Missing approver,,Data Entry Error
TXN-004516,2025-09-15,15:17,Monday,IT,Vendor_048,Consulting,11.28,40000,,INV-104250,Missing approver,,Data Entry Error
TXN-002840,2025-09-22,13:40,Monday,IT,Vendor_048,Misc,15872.47,40000,,INV-104375,Missing approver,,Data Entry Error
