transaction_id,date,posting_time,day_of_week,department,vendor,category,amount,approval_limit,approver,invoice_number
TXN-004276,2025-01-02,15:08,Thursday,Finance,Vendor_003,Consulting,-3355.56,60000,Approver_14,INV-100032
TXN-003128,2025-01-02,15:11,Thursday,Finance,Vendor_009,Utilities,9327.8,60000,Approver_13,INV-100033
TXN-005691,2025-01-02,11:58,Thursday,Operations,Vendor_042,Misc,1324.84,30000,Approver_04,INV-100034
TXN-002649,2025-01-02,12:00,Thursday,HR,Vendor_054,Misc,820.17,15000,Approver_05,INV-100035
TXN-000266,2025-01-02,14:02,Thursday,HR,Vendor_055,Equipment,14101.4,15000,Approver_03,INV-100036
TXN-000821,2025-01-02,16:16,Thursday,Operations,Vendor_050,Consulting,188.24,30000,Approver_12,INV-100037
TXN-003246,2025-01-02,14:38,Thursday,HR,Vendor_059,Misc,52220.84,15000,Approver_06,INV-100038
TXN-002886,2025-01-02,11:13,Thursday,Procurement,Vendor_021,Software,92.31,50000,Approver_02,INV-100039
TXN-005913,2025-01-03,10:43,Friday,Marketing,Vendor_040,Consulting,6329.9,25000,Approver_05,INV-100040
TXN-001063,2025-01-03,16:29,Friday,HR,Vendor_032,Travel,329.2,15000,Approver_07,INV-100041
TXN-001569,2025-01-03,15:47,Friday,Operations,Vendor_005,Equipment,243.29,30000,Approver_13,INV-100042
TXN-004663,2025-01-03,16:46,Friday,HR,Vendor_005,Misc,215.82,15000,Approver_05,INV-100043
TXN-004082,2025-01-03,17:44,Friday,HR,Vendor_056,Equipment,565.61,15000,Approver_11,INV-100044
TXN-004084,2025-01-03,12:35,Friday,Sales,Vendor_028,Misc,128.92,20000,Approver_10,INV-100045
TXN-001099,2025-01-03,16:36,Friday,IT,Vendor_003,Utilities,4023.58,40000,Approver_05,INV-100046
TXN-001223,2025-01-03,18:49,Friday,Sales,Vendor_015,Software,925.57,20000,Approver_14,INV-100047
TXN-000387,2025-01-03,15:20,Friday,Marketing,Vendor_002,Supplies,10000.0,25000,Approver_15,INV-100048
TXN-005859,2025-01-03,17:50,Friday,Sales,Vendor_012,Misc,280.1,20000,Approver_06,INV-100049
TXN-004242,2025-01-03,16:12,Friday,HR,Vendor_042,Consulting,8791.28,15000,Approver_01,INV-100050
TXN-005060,2025-01-03,14:14,Friday,Sales,Vendor_024,Equipment,70.96,20000,Approver_02,INV-100051
TXN-001961,2025-01-03,18:01,Friday,HR,Vendor_001,Consulting,10.72,15000,Approver_01,INV-100052
TXN-004581,2025-01-03,11:22,Friday,Marketing,Vendor_034,Travel,17.84,25000,Approver_01,INV-100053
TXN-003958,2025-01-03,14:45,Friday,IT,Vendor_010,Misc,2189.98,40000,Approver_07,INV-100054
TXN-005342,2025-01-03,09:23,Friday,HR,Vendor_038,Misc,14466.25,15000,Approver_08,INV-100055
TXN-000148,2025-01-03,09:59,Friday,Sales,Vendor_045,Consulting,20000.0,20000,Approver_12,INV-100056
TXN-002300,2025-01-03,11:21,Friday,IT,Vendor_047,Software,116.5,40000,Approver_12,INV-100057
TXN-004706,2025-01-04,02:34,Saturday,Sales,Vendor_019,Software,16.37,20000,Approver_09,INV-100058
TXN-004206,2025-01-06,11:00,Monday,Procurement,Vendor_046,Equipment,49.85,50000,Approver_07,INV-100059
TXN-001256,2025-01-06,14:19,Monday,Finance,Vendor_006,Misc,180.3,60000,Approver_10,INV-100060
TXN-005576,2025-01-06,15:38,Monday,HR,Vendor_011,Travel,221.88,15000,Approver_11,INV-100061
TXN-002531,2025-01-06,10:36,Monday,IT,Vendor_042,Utilities,165.19,40000,Approver_10,INV-100062
TXN-004291,2025-01-06,11:16,Monday,IT,Vendor_055,Utilities,3630.8,40000,Approver_06,INV-100063
TXN-005560,2025-01-06,10:42,Monday,Finance,Vendor_035,Utilities,821.35,60000,Approver_07,INV-100064
TXN-005937,2025-01-06,16:46,Monday,HR,Vendor_002,Software,837.11,15000,Approver_14,INV-100065
TXN-001827,2025-01-06,15:47,Monday,Operations,Vendor_058,Software,366.28,30000,Approver_06,INV-100066
TXN-004991,2025-01-06,14:26,Monday,Finance,Vendor_017,Travel,904.91,60000,Approver_07,INV-100067
TXN-005180,2025-01-06,18:48,Monday,Marketing,Vendor_022,Utilities,11131.89,25000,Approver_07,INV-100068
TXN-002687,2025-01-06,11:17,Monday,Operations,Vendor_031,Equipment,25.07,30000,Approver_01,INV-100069
TXN-005814,2025-01-06,18:09,Monday,Procurement,Vendor_016,Consulting,9326.35,50000,Approver_08,INV-100070
TXN-005748,2025-01-06,15:20,Monday,Sales,Vendor_046,Utilities,3996.31,20000,Approver_11,INV-100071
TXN-001958,2025-01-06,16:36,Monday,Sales,Vendor_049,Supplies,19391.5,20000,Approver_03,INV-100072
TXN-002726,2025-01-06,15:07,Monday,Marketing,Vendor_059,Supplies,6422.89,25000,Approver_11,INV-100073
TXN-000706,2025-01-06,10:39,Monday,Sales,Vendor_032,Equipment,7500.0,20000,Approver_01,INV-100074
TXN-003337,2025-01-06,15:57,Monday,HR,Vendor_028,Consulting,34856.49,15000,Approver_09,INV-100075
TXN-000694,2025-01-06,14:02,Monday,Marketing,Vendor_017,Misc,3729.74,25000,Approver_15,INV-100076
TXN-005215,2025-01-06,10:44,Monday,Sales,Vendor_007,Travel,8698.1,20000,Approver_03,INV-100077
TXN-002635,2025-01-06,10:11,Monday,Operations,Vendor_060,Misc,97.21,30000,Approver_10,INV-100078
TXN-003038,2025-01-06,08:16,Monday,Procurement,Vendor_047,Supplies,36783.04,50000,Approver_10,INV-100079
TXN-002067,2025-01-06,11:30,Monday,IT,Vendor_034,Misc,3192.06,40000,Approver_06,INV-100080
TXN-003565,2025-01-06,15:30,Monday,IT,Vendor_052,Utilities,678.3,40000,Approver_12,INV-100081
TXN-003646,2025-01-06,12:47,Monday,IT,Vendor_020,Misc,77.51,40000,Approver_04,INV-100082
TXN-005750,2025-01-07,12:00,Tuesday,Operations,Vendor_050,Misc,1819.98,30000,Approver_02,INV-100083
TXN-004296,2025-01-07,11:21,Tuesday,Marketing,Vendor_055,Consulting,-2872.01,25000,Approver_05,INV-100084
TXN-000228,2025-01-07,09:14,Tuesday,Marketing,Vendor_021,Supplies,46.11,25000,Approver_15,INV-100085
TXN-003268,2025-01-07,17:11,Tuesday,Marketing,Vendor_001,Software,154.11,25000,Approver_04,INV-100086
TXN-004250,2025-01-07,09:00,Tuesday,Sales,Vendor_006,Software,2621.37,20000,Approver_07,INV-100087
TXN-003870,2025-01-07,09:56,Tuesday,Procurement,Vendor_013,Travel,2613.59,50000,Approver_06,INV-100088
TXN-000135,2025-01-07,09:32,Tuesday,HR,Vendor_034,Utilities,308.07,15000,,INV-100089
TXN-005592,2025-01-07,08:26,Tuesday,Procurement,Vendor_040,Travel,1443.93,50000,Approver_09,INV-100090
TXN-002443,2025-01-07,09:15,Tuesday,Finance,Vendor_058,Equipment,20.89,60000,Approver_07,INV-100091
TXN-002433,2025-01-07,11:17,Tuesday,HR,Vendor_036,Misc,5000.0,15000,Approver_15,INV-100092
TXN-004214,2025-01-07,12:30,Tuesday,Sales,Vendor_020,Supplies,10.66,20000,Approver_14,INV-100093
TXN-004209,2025-01-07,09:40,Tuesday,Sales,Vendor_003,Travel,19125.27,20000,Approver_10,INV-100094
TXN-004062,2025-01-07,13:25,Tuesday,IT,Vendor_013,Travel,5117.23,40000,Approver_11,INV-100095
TXN-000395,2025-01-07,13:58,Tuesday,IT,Vendor_009,Consulting,1572.73,40000,Approver_08,INV-100096
TXN-004158,2025-01-07,11:11,Tuesday,Procurement,Vendor_047,Misc,35.41,50000,Approver_12,INV-100097
TXN-001993,2025-01-07,16:06,Tuesday,Finance,Vendor_025,Utilities,36.97,60000,Approver_01,INV-100098
TXN-003527,2025-01-07,15:24,Tuesday,Marketing,Vendor_035,Software,5000.0,25000,Approver_10,INV-100099
TXN-003000,2025-01-07,10:52,Tuesday,Procurement,Vendor_010,Software,139.09,50000,Approver_01,INV-100100
TXN-005559,2025-01-07,15:10,Tuesday,IT,Vendor_044,Travel,5097.67,40000,Approver_06,INV-100101
TXN-004764,2025-01-07,18:28,Tuesday,Sales,Vendor_024,Consulting,2082.42,20000,Approver_15,INV-100102
TXN-004939,2025-01-07,18:05,Tuesday,Marketing,Vendor_023,Travel,105.37,25000,Approver_03,INV-100103
TXN-004953,2025-01-07,11:50,Tuesday,Operations,Vendor_057,Software,1088.04,30000,Approver_03,INV-100104
TXN-003158,2025-01-07,18:29,Tuesday,Finance,Vendor_030,Supplies,8537.27,60000,Approver_09,INV-100105
TXN-004962,2025-01-07,16:14,Tuesday,Sales,Vendor_032,Utilities,178.53,20000,Approver_03,INV-100106
TXN-004596,2025-01-07,10:23,Tuesday,Marketing,Vendor_051,Consulting,2681.39,25000,Approver_05,INV-100107
TXN-005015,2025-01-07,16:39,Tuesday,Finance,Vendor_035,Utilities,176.39,60000,Approver_12,INV-100108
TXN-002750,2025-01-07,18:47,Tuesday,IT,Vendor_003,Travel,4074.07,40000,Approver_08,INV-100109
TXN-002753,2025-01-07,12:29,Tuesday,Operations,Vendor_033,Consulting,124.81,30000,Approver_09,INV-100110
TXN-002965,2025-01-07,11:09,Tuesday,Operations,Vendor_045,Equipment,192.03,30000,Approver_13,INV-100106
TXN-001336,2025-01-07,15:45,Tuesday,Marketing,Vendor_057,Misc,23909.92,25000,Approver_06,INV-100112
TXN-000714,2025-01-07,09:54,Tuesday,Sales,Vendor_045,Equipment,2797.59,20000,Approver_09,INV-100113
TXN-001885,2025-01-08,10:53,Wednesday,IT,Vendor_025,Software,3030.77,40000,Approver_01,INV-100114
TXN-001085,2025-01-08,15:23,Wednesday,Sales,Vendor_038,Supplies,281.5,20000,Approver_02,INV-100115
TXN-003628,2025-01-08,17:35,Wednesday,Finance,Vendor_025,Consulting,98407.31,60000,Approver_06,INV-100116
TXN-004091,2025-01-08,11:07,Wednesday,Finance,Vendor_049,Consulting,2057.04,60000,Approver_07,INV-100117
TXN-001052,2025-01-08,15:26,Wednesday,Procurement,Vendor_027,Utilities,41.33,50000,Approver_05,INV-100118
TXN-004077,2025-01-08,10:33,Wednesday,Marketing,Vendor_005,Software,23643.03,25000,Approver_08,INV-100119
TXN-001686,2025-01-08,11:03,Wednesday,Sales,Vendor_011,Utilities,862.58,20000,Approver_14,INV-100120
TXN-002233,2025-01-08,17:38,Wednesday,Operations,Vendor_019,Misc,1470.72,30000,Approver_06,INV-100121
TXN-002891,2025-01-08,09:30,Wednesday,Finance,Vendor_010,Equipment,179.88,60000,Approver_02,INV-100122
TXN-005290,2025-01-08,16:48,Wednesday,IT,Vendor_032,Software,5000.0,40000,Approver_13,INV-100123
TXN-003353,2025-01-08,12:52,Wednesday,Operations,Vendor_047,Misc,83.42,30000,Approver_09,INV-100124
TXN-001103,2025-01-08,15:05,Wednesday,IT,Vendor_057,Equipment,1849.57,40000,Approver_01,INV-100125
TXN-002937,2025-01-08,16:02,Wednesday,Sales,Vendor_009,Utilities,1000.0,20000,Approver_06,INV-100126
TXN-003808,2025-01-08,10:26,Wednesday,Finance,Vendor_011,Travel,753.46,60000,Approver_12,INV-100127
TXN-003412,2025-01-08,13:51,Wednesday,Sales,Vendor_057,Equipment,10.76,20000,Approver_06,INV-100128
TXN-000067,2025-01-08,10:03,Wednesday,IT,Vendor_058,Consulting,788.48,40000,Approver_13,INV-100129
TXN-004031,2025-01-08,15:51,Wednesday,IT,Vendor_016,Supplies,906.33,40000,Approver_15,INV-100130
TXN-003265,2025-01-08,11:29,Wednesday,HR,Vendor_008,Equipment,13611.34,15000,Approver_01,INV-100131
TXN-001262,2025-01-08,11:18,Wednesday,Marketing,Vendor_044,Misc,46.48,25000,Approver_09,INV-100132
TXN-001506,2025-01-08,18:39,Wednesday,Procurement,Vendor_030,Supplies,346.7,50000,Approver_04,INV-100133
TXN-001195,2025-01-08,13:16,Wednesday,Sales,Vendor_060,Misc,3000.27,20000,Approver_05,INV-100134
TXN-000471,2025-01-08,11:50,Wednesday,Finance,Vendor_045,Software,547.65,60000,Approver_12,INV-100135
TXN-005557,2025-01-08,11:09,Wednesday,Procurement,Vendor_005,Utilities,40.82,50000,Approver_05,INV-100136
TXN-000449,2025-01-08,17:15,Wednesday,HR,Vendor_016,Utilities,11.23,15000,Approver_05,INV-100137
TXN-001770,2025-01-09,12:38,Thursday,Procurement,Vendor_016,Consulting,386.05,50000,,INV-100138
TXN-002708,2025-01-09,10:50,Thursday,Operations,Vendor_044,Supplies,13.97,30000,Approver_10,INV-100139
TXN-005785,2025-01-09,12:25,Thursday,HR,Vendor_045,Travel,111.63,15000,Approver_11,INV-100140
TXN-000777,2025-01-09,13:20,Thursday,IT,Vendor_011,Software,11.43,40000,Approver_05,INV-100141
TXN-003438,2025-01-09,10:55,Thursday,Procurement,Vendor_045,Misc,131.65,50000,Approver_07,INV-100142
TXN-000760,2025-01-09,11:48,Thursday,Sales,Vendor_058,Utilities,2500.0,20000,Approver_09,INV-100143
TXN-005173,2025-01-09,10:23,Thursday,Finance,Vendor_054,Equipment,2097.64,60000,Approver_14,INV-100144
TXN-000009,2025-01-09,16:43,Thursday,Procurement,Vendor_033,Consulting,103.3,50000,Approver_08,INV-100145
TXN-001454,2025-01-09,11:23,Thursday,Marketing,Vendor_038,Software,12.59,25000,Approver_02,INV-100146
TXN-000702,2025-01-09,16:17,Thursday,Marketing,Vendor_055,Misc,22717.14,25000,Approver_09,INV-100147
TXN-004279,2025-01-09,16:18,Thursday,Marketing,Vendor_012,Utilities,243.42,25000,Approver_05,INV-100148
TXN-001235,2025-01-09,11:49,Thursday,Finance,Vendor_015,Consulting,88955.03,60000,Approver_11,INV-100149
TXN-003197,2025-01-09,17:56,Thursday,Marketing,Vendor_002,Utilities,952.25,25000,Approver_01,INV-100150
TXN-002327,2025-01-09,15:36,Thursday,IT,Vendor_060,Software,6990.53,40000,Approver_11,INV-100151
TXN-003082,2025-01-09,12:51,Thursday,Sales,Vendor_057,Consulting,56.29,20000,Approver_06,INV-100152
TXN-000970,2025-01-09,12:00,Thursday,Procurement,Vendor_008,Software,2620.37,50000,Approver_07,INV-100153
TXN-000141,2025-01-09,10:56,Thursday,Operations,Vendor_011,Equipment,44.82,30000,Approver_02,INV-100154
TXN-001288,2025-01-10,10:03,Friday,Procurement,Vendor_007,Travel,66.49,50000,Approver_13,INV-100155
TXN-000176,2025-01-10,10:56,Friday,Procurement,Vendor_004,Supplies,7943.71,50000,Approver_10,INV-100156
TXN-003821,2025-01-10,15:24,Friday,Operations,Vendor_018,Supplies,1945.69,30000,Approver_14,INV-100157
TXN-001204,2025-01-10,15:13,Friday,Marketing,Vendor_009,Utilities,388.1,25000,Approver_10,INV-100158
TXN-003789,2025-01-10,14:18,Friday,Finance,Vendor_048,Travel,1735.43,60000,Approver_06,INV-100159
TXN-005782,2025-01-10,15:16,Friday,IT,Vendor_044,Utilities,6016.06,40000,Approver_02,INV-100160
TXN-005549,2025-01-10,15:40,Friday,IT,Vendor_026,Misc,13.61,40000,Approver_05,INV-100161
TXN-003712,2025-01-10,17:33,Friday,HR,Vendor_009,Travel,16961.64,15000,Approver_10,INV-100162
TXN-005398,2025-01-10,18:22,Friday,Marketing,Vendor_048,Misc,22601.05,25000,Approver_01,INV-100163
TXN-005130,2025-01-10,12:53,Friday,Operations,Vendor_001,Travel,65824.56,30000,Approver_11,INV-100164
TXN-005275,2025-01-10,16:43,Friday,Marketing,Vendor_021,Software,219.75,25000,Approver_15,INV-100165
TXN-004691,2025-01-10,17:20,Friday,Procurement,Vendor_040,Consulting,637.18,50000,Approver_10,INV-100166
TXN-001457,2025-01-10,16:25,Friday,Procurement,Vendor_029,Misc,244.1,50000,Approver_06,INV-100167
TXN-002178,2025-01-10,11:13,Friday,HR,Vendor_054,Software,5258.76,15000,Approver_07,INV-100168
TXN-000214,2025-01-10,16:45,Friday,Marketing,Vendor_036,Utilities,154.18,25000,Approver_13,INV-100169
TXN-001679,2025-01-10,15:43,Friday,HR,Vendor_008,Travel,55090.77,15000,Approver_07,INV-100170
TXN-001501,2025-01-10,14:55,Friday,HR,Vendor_004,Utilities,7630.44,15000,Approver_06,INV-100171
TXN-003564,2025-01-10,10:11,Friday,Marketing,Vendor_005,Supplies,4441.87,25000,Approver_11,INV-100172
TXN-000814,2025-01-10,14:30,Friday,Sales,Vendor_015,Supplies,138.94,20000,Approver_14,INV-100173
TXN-003862,2025-01-10,15:58,Friday,IT,Vendor_054,Supplies,50.26,40000,Approver_11,INV-100174
TXN-000864,2025-01-10,16:28,Friday,Marketing,Vendor_035,Misc,184.88,25000,Approver_03,INV-100175
TXN-000565,2025-01-10,15:16,Friday,Procurement,Vendor_013,Supplies,6479.96,50000,Approver_07,INV-100176
TXN-001726,2025-01-10,11:33,Friday,Marketing,Vendor_001,Equipment,8323.39,25000,Approver_10,INV-100177
TXN-003224,2025-01-10,12:06,Friday,IT,Vendor_008,Software,3051.47,40000,Approver_06,INV-100178
TXN-005685,2025-01-10,13:50,Friday,IT,Vendor_030,Utilities,272.24,40000,Approver_13,INV-100179
TXN-001775,2025-01-10,15:50,Friday,Marketing,Vendor_020,Travel,1178.29,25000,Approver_09,INV-100180
TXN-001020,2025-01-10,18:29,Friday,Finance,Vendor_054,Supplies,946.39,60000,Approver_12,INV-100181
TXN-002322,2025-01-10,16:44,Friday,IT,Vendor_050,Supplies,3276.23,40000,Approver_02,INV-100182
TXN-005615,2025-01-10,12:18,Friday,Procurement,Vendor_027,Software,376.26,50000,Approver_09,INV-100183
TXN-001219,2025-01-11,09:46,Saturday,Marketing,Vendor_031,Software,580.29,25000,Approver_07,INV-100184
TXN-000711,2025-01-12,09:24,Sunday,Finance,Vendor_011,Utilities,228.78,60000,Approver_01,INV-100185
TXN-004163,2025-01-13,12:26,Monday,Procurement,Vendor_059,Misc,18.39,50000,Approver_03,INV-100186
TXN-005272,2025-01-13,14:53,Monday,Marketing,Vendor_007,Misc,1670.67,25000,Approver_01,INV-100187
TXN-001165,2025-01-13,11:11,Monday,Sales,Vendor_043,Supplies,817.9,20000,Approver_05,INV-100188
TXN-004741,2025-01-13,14:39,Monday,Operations,Vendor_042,Travel,14.0,30000,Approver_08,INV-100189
TXN-003670,2025-01-13,15:39,Monday,Operations,Vendor_049,Utilities,63.1,30000,Approver_13,INV-100190
TXN-005010,2025-01-13,15:37,Monday,Marketing,Vendor_008,Software,10000.0,25000,Approver_04,INV-100191
TXN-005486,2025-01-13,10:39,Monday,Marketing,Vendor_035,Travel,-1236.09,25000,Approver_09,INV-100192
TXN-004865,2025-01-13,15:46,Monday,Procurement,Vendor_017,Software,48397.15,50000,Approver_04,INV-100193
TXN-001338,2025-01-13,12:13,Monday,Sales,Vendor_002,Utilities,619.75,20000,Approver_13,INV-100190
TXN-000772,2025-01-13,11:01,Monday,Sales,Vendor_032,Utilities,907.78,20000,Approver_13,INV-100195
TXN-003884,2025-01-13,13:38,Monday,Marketing,Vendor_013,Utilities,115.29,25000,Approver_10,INV-100196
TXN-004054,2025-01-13,14:19,Monday,HR,Vendor_058,Equipment,7133.84,15000,Approver_09,INV-100197
TXN-004221,2025-01-13,13:04,Monday,Marketing,Vendor_039,Travel,9160.87,25000,Approver_15,INV-100198
TXN-001866,2025-01-13,10:20,Monday,Marketing,Vendor_044,Utilities,188.18,25000,Approver_11,INV-100199
TXN-001066,2025-01-13,09:40,Monday,Finance,Vendor_040,Utilities,136.37,60000,Approver_09,INV-100200
TXN-005595,2025-01-13,11:53,Monday,Marketing,Vendor_028,Supplies,107.74,25000,,INV-100201
TXN-001692,2025-01-13,15:46,Monday,Marketing,Vendor_033,Misc,285.28,25000,Approver_14,INV-100202
TXN-003266,2025-01-13,11:21,Monday,Operations,Vendor_048,Consulting,6540.33,30000,Approver_09,INV-100203
TXN-002849,2025-01-13,11:52,Monday,Finance,Vendor_004,Consulting,123.85,60000,Approver_12,INV-100200
TXN-005883,2025-01-13,11:10,Monday,Operations,Vendor_036,Utilities,500.85,30000,Approver_07,INV-100201
TXN-002761,2025-01-13,16:39,Monday,Marketing,Vendor_056,Software,4020.64,25000,Approver_06,INV-100206
TXN-002591,2025-01-13,11:59,Monday,Procurement,Vendor_054,Equipment,-1786.71,50000,Approver_13,INV-100207
TXN-002217,2025-01-13,09:33,Monday,Marketing,Vendor_040,Supplies,489.19,25000,Approver_04,INV-100208
TXN-000073,2025-01-13,14:03,Monday,Operations,Vendor_034,Misc,445.47,30000,Approver_04,INV-100209
TXN-001862,2025-01-14,14:11,Tuesday,Marketing,Vendor_031,Travel,11.87,25000,Approver_10,INV-100210
TXN-003445,2025-01-14,15:08,Tuesday,Marketing,Vendor_044,Consulting,84979.71,25000,Approver_01,INV-100211
TXN-005603,2025-01-14,17:51,Tuesday,Finance,Vendor_018,Misc,-1786.01,60000,Approver_15,INV-100212
TXN-000071,2025-01-14,10:50,Tuesday,Marketing,Vendor_018,Supplies,7856.1,25000,Approver_15,INV-100213
TXN-004474,2025-01-14,13:29,Tuesday,IT,Vendor_060,Travel,701.6,40000,Approver_08,INV-100214
TXN-001318,2025-01-14,10:58,Tuesday,Marketing,Vendor_031,Travel,342.06,25000,Approver_02,INV-100215
TXN-005353,2025-01-14,18:37,Tuesday,Procurement,Vendor_052,Consulting,144.46,50000,Approver_09,INV-100216
TXN-001225,2025-01-14,15:39,Tuesday,Procurement,Vendor_022,Supplies,-3829.34,50000,Approver_04,INV-100217
TXN-001000,2025-01-14,16:07,Tuesday,Finance,Vendor_012,Misc,445.74,60000,Approver_03,INV-100218
TXN-000794,2025-01-14,14:25,Tuesday,Marketing,Vendor_029,Misc,87762.73,25000,Approver_12,INV-100219
TXN-001792,2025-01-14,17:13,Tuesday,IT,Vendor_052,Supplies,3426.93,40000,Approver_08,INV-100220
TXN-003360,2025-01-14,10:44,Tuesday,IT,Vendor_001,Supplies,5615.68,40000,Approver_12,INV-100221
TXN-003417,2025-01-14,18:37,Tuesday,Finance,Vendor_034,Supplies,55513.84,60000,Approver_12,INV-100222
TXN-005379,2025-01-14,18:15,Tuesday,Sales,Vendor_053,Consulting,951.5,20000,Approver_01,INV-100223
TXN-005784,2025-01-14,10:16,Tuesday,Operations,Vendor_015,Supplies,-1207.75,30000,Approver_04,INV-100224
TXN-001466,2025-01-14,14:13,Tuesday,Marketing,Vendor_036,Equipment,24.18,25000,Approver_08,INV-100225
TXN-000634,2025-01-14,18:56,Tuesday,Finance,Vendor_049,Consulting,394.77,60000,Approver_10,INV-100226
TXN-001427,2025-01-14,11:20,Tuesday,HR,Vendor_044,Travel,16.0,15000,Approver_08,INV-100227
TXN-003029,2025-01-14,15:11,Tuesday,Marketing,Vendor_050,Supplies,20.04,25000,Approver_09,INV-100228
TXN-004768,2025-01-14,15:53,Tuesday,IT,Vendor_053,Equipment,27.29,40000,Approver_13,INV-100229
TXN-005957,2025-01-14,11:06,Tuesday,IT,Vendor_015,Software,31.77,40000,Approver_12,INV-100230
TXN-003072,2025-01-15,11:15,Wednesday,Marketing,Vendor_023,Misc,600.62,25000,Approver_02,INV-100231
TXN-001600,2025-01-15,10:24,Wednesday,Procurement,Vendor_040,Utilities,119.48,50000,Approver_04,INV-100232
TXN-005438,2025-01-15,12:34,Wednesday,Marketing,Vendor_027,Supplies,250.23,25000,Approver_02,INV-100233
TXN-003432,2025-01-15,16:58,Wednesday,Finance,Vendor_038,Misc,-1953.08,60000,Approver_09,INV-100234
TXN-001655,2025-01-15,18:25,Wednesday,Operations,Vendor_010,Consulting,969.7,30000,Approver_07,INV-100235
TXN-000255,2025-01-15,15:25,Wednesday,Finance,Vendor_029,Consulting,14.81,60000,Approver_06,INV-100236
TXN-004665,2025-01-15,13:08,Wednesday,HR,Vendor_047,Travel,35.52,15000,Approver_11,INV-100237
TXN-005673,2025-01-15,15:42,Wednesday,Operations,Vendor_002,Supplies,655.8,30000,Approver_12,INV-100238
TXN-000495,2025-01-15,16:33,Wednesday,HR,Vendor_016,Utilities,34.78,15000,Approver_01,INV-100239
